,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Emission_Norm,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,ARAI_Certified_Mileage,Gears,Ground_Clearance,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Seating_Capacity,Seats_Material,Type,Audiosystem,Bluetooth,Boot_Space,Central_Locking,Child_Safety_Locks,Distance_to_Empty,Handbrake,Ventilation_System,Engine_Immobilizer,ABS_(Anti-lock_Braking_System),Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Parking_Assistance,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Kerb_Weight
0,Tata,Nano Genx,Xt,292667,624.0,2,BS IV,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,23.6,4,180.0,Electric Power,Only Front Windows,No,Remote,374.68,4,Fabric,Manual,CD Player with USB & Aux-in,Yes,110.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,No,Manual Adjustment,660
1,Tata,Nano Genx,Xe,236447,624.0,2,BS IV,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,23.6,4,180.0,No,No,No,No,374.68,4,Fabric,Manual,No,No,110.0,No,Yes,Yes,Manual,No,No,No,No,No,No,No,No,Manual Adjustment,725
2,Tata,Nano Genx,Emax Xm,296661,624.0,2,BS IV,Injection,15.0,CNG,1652.0,3164.0,1750.0,Hatchback,19.90211704,4,180.0,Electric Power,No,No,No,374.68,4,Fabric,Manual,No,No,110.0,No,Yes,Yes,Manual,Air Conditioning with cooling only,No,No,No,No,No,No,No,Manual Adjustment,710
3,Tata,Nano Genx,Xta,334768,624.0,2,BS IV,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,21.9,5,180.0,Electric Power,Only Front Windows,No,Remote,374.68,4,Fabric,Automatic,CD Player with USB & Aux-in,Yes,94.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,No,Manual Adjustment,725
4,Tata,Nano Genx,Xm,272223,624.0,2,BS IV,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,23.6,4,180.0,Electric Power,No,No,No,374.68,4,Fabric,Manual,No,No,110.0,No,Yes,Yes,Manual,Air Conditioning with cooling only,No,No,No,No,No,No,No,Manual Adjustment,725
5,Tata,Nano Genx,Xma,314815,624.0,2,BS IV,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,21.9,5,180.0,Electric Power,No,No,No,374.68,4,Fabric,Automatic,No,No,94.0,No,Yes,Yes,Manual,Air Conditioning with cooling only,No,No,Yes,No,No,No,No,Manual Adjustment,710
6,Datsun,Redi-Go,D,279650,799.0,3,BS IV,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,25.17,5,185.0,No,No,No,No,53.244,5,Fabric,Manual,No,No,222.0,No,Yes,Yes,Manual,Yes,Yes,Yes,No,No,No,No,No,Manual Adjustment,990.467868338558
7,Datsun,Redi-Go,T,351832,799.0,3,BS IV,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,25.17,5,185.0,Electric Power,Only Front Windows,No,No,53.244,5,Fabric,Manual,CD Player with USB & Aux-in,No,222.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,No,No,No,No,No,No,Manual Adjustment,990.467868338558
8,Datsun,Redi-Go,A,333419,799.0,3,BS IV,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,25.17,5,185.0,Electric Power,No,No,No,53.244,5,Fabric,Manual,No,No,222.0,No,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,No,No,No,No,No,No,Manual Adjustment,990.467868338558
9,Datsun,Redi-Go,S,362000,799.0,3,BS IV,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,25.17,5,185.0,Electric Power,No,No,No,53.244,5,Fabric,Manual,CD Player with USB & Aux-in,No,222.0,No,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,No,No,No,No,Rear sensors,No,Manual Adjustment,990.467868338558
10,Datsun,Redi-Go,1.0 S,390000,999.0,3,BS IV,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,22.5,5,185.0,Electric Power,No,No,No,67.048,5,Fabric,Manual,CD Player with USB & Aux-in,No,222.0,No,Yes,Yes,Manual,Air Conditioning with cooling only,Yes,No,No,No,No,No,No,Manual Adjustment,990.467868338558
11,Datsun,Redi-Go,1.0 S Amt,437065,999.0,3,BS IV,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,23.0,5,185.0,Electric Power,Only Front Windows,No,Yes,67.048,5,Fabric,Automatic,CD Player with USB & Aux-in,No,222.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,No,No,No,No,Rear sensors,No,Manual Adjustment,990.467868338558
12,Renault,Kwid,Rxe 0.8,353290,799.0,3,BS VI,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,25.17,6,184.0,No,No,No,No,53.244,5,Fabric,Manual,No,No,300.0,No,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,No,No,Manual Adjustment,669
13,Renault,Kwid,Std 0.8,283290,799.0,3,BS VI,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,25.17,5,184.0,No,No,No,No,53.244,5,Fabric,Manual,No,No,300.0,No,No,No,Manual,Heater,No,Yes,No,Yes,Yes,No,No,Manual Adjustment,669
14,Renault,Kwid,Rxl 0.8,383290,799.0,3,BS VI,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,25.17,5,184.0,Electric Power,Only Front Windows,No,No,53.244,5,Fabric,Manual,CD Player with USB & Aux-in,Yes,300.0,Yes,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,No,No,Manual Adjustment,669
15,Renault,Kwid,Rxt 0.8,413290,799.0,3,BS VI,Injection,28.0,Petrol,1490.0,3731.0,1580.0,Hatchback,25.17,5,184.0,Electric Power,No,No,No,53.244,5,Fabric,Manual,CD Player with USB & Aux-in,Yes,300.0,No,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,No,No,Manual Adjustment,669
16,Renault,Kwid,Rxt 1.0,433290,999.0,3,BS VI,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,23.01,5,184.0,Electric Power,Only Front Windows,No,Remote,67.048,5,Fabric,Manual,CD Player with USB & Aux-in,Yes,300.0,Yes,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Rear sensors with camera,No,Manual Adjustment,669
17,Renault,Kwid,Climber 1.0 Mt,454490,999.0,3,BS VI,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,23.01,5,184.0,Electric Power,Only Front Windows,No,Remote,67.048,5,Fabric,Manual,CD Player with USB & Aux-in,Yes,300.0,Yes,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Rear sensors with camera,No,Manual Adjustment,669
18,Renault,Kwid,Rxt Amt 1.0,463290,999.0,3,BS VI,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,24.04,5,184.0,Electric Power,Only Front Windows,No,Remote,67.048,5,Fabric,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,300.0,Yes,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Rear sensors with camera,No,Manual Adjustment,669
19,Renault,Kwid,Climber Amt 1.0,484490,999.0,3,BS VI,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,24.04,5,184.0,Electric Power,Only Front Windows,No,Remote,67.048,5,Fabric,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,300.0,Yes,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Rear sensors with camera,No,Manual Adjustment,669
20,Renault,Kwid,Rxt (O) 1.0,440990,999.0,3,BS VI,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,23.01,5,184.0,Electric Power,Only Front Windows,No,Remote,67.048,5,Fabric,Manual,CD Player with USB & Aux-in,Yes,300.0,Yes,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Rear sensors with camera,No,Manual Adjustment,669
21,Renault,Kwid,Rxt (O) Amt 1.0,470990,999.0,3,BS VI,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,23.01,5,184.0,Electric Power,Only Front Windows,No,Remote,67.048,5,Fabric,Automatic,CD Player with USB & Aux-in,Yes,300.0,Yes,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Rear sensors with camera,No,Manual Adjustment,669
22,Renault,Kwid,Climber (O) Mt 1.0,462190,999.0,3,BS VI,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,23.01,5,184.0,Electric Power,All Windows,No,Remote,67.048,5,Fabric,Manual,CD Player with USB & Aux-in,Yes,300.0,Yes,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Rear sensors with camera,No,Manual Adjustment,669
23,Renault,Kwid,Climber (O) Amt 1.0,492190,999.0,3,BS VI,Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,24.04,5,184.0,Electric Power,All Windows,No,Remote,67.048,5,Fabric,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,300.0,Yes,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Rear sensors with camera,No,Manual Adjustment,669
24,Maruti Suzuki,Eeco,5 Str,352136,1196.0,4,BS VI,Injection,40.0,Petrol,1800.0,3675.0,1475.0,MPV,15.0,5,160.0,No,No,No,No,71.978,5,Fabric,Manual,No,No,400.0,No,Yes,No,Manual,No,No,Yes,No,Yes,No,Rear sensors,No,Manual Adjustment,920
25,Maruti Suzuki,Eeco,7 Str,380573,1196.0,4,BS VI,Injection,40.0,Petrol,1800.0,3675.0,1475.0,MPV,15.0,5,160.0,No,No,No,No,72.964,7,Fabric,Manual,No,No,250.0,No,Yes,No,Manual,No,No,Yes,No,Yes,No,Rear sensors,No,Manual Adjustment,940
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,392967,1196.0,4,BS VI,Injection,40.0,Petrol,1800.0,3675.0,1475.0,MPV,15.0,5,160.0,No,No,No,No,71.978,5,Fabric,Manual,No,No,400.0,No,Yes,No,Manual,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,No,Manual Adjustment,928
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,466057,1196.0,4,BS VI,Injection,40.0,CNG,1800.0,3675.0,1475.0,MPV,19.90211704,5,160.0,No,No,No,No,61.132,5,Fabric,Manual,No,No,400.0,No,Yes,No,Manual,Manual Air conditioning with cooling and heating,No,Yes,No,Yes,No,Rear sensors,No,Manual Adjustment,1050
28,Maruti Suzuki,Eeco,5 Str With Htr Cng,425255,1196.0,4,BS VI,Injection,40.0,CNG,1800.0,3675.0,1475.0,MPV,19.90211704,5,160.0,No,No,No,No,61.132,5,Fabric,Manual,No,No,400.0,No,Yes,No,Manual,Heater,No,Yes,No,Yes,No,Rear sensors,No,Manual Adjustment,1030
29,Maruti Suzuki,Alto K10,Lxi,377588,998.0,3,BS IV,Injection,35.0,Petrol,1475.0,3545.0,1490.0,Hatchback,24.07,5,160.0,Yes,No,No,No,67.048,5,Fabric,Manual,No,No,177.0,No,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,No,Yes,No,No,No,Manual Adjustment,745
30,Maruti Suzuki,Alto K10,Vxi,394036,998.0,3,BS IV,Injection,35.0,Petrol,1475.0,3545.0,1490.0,Hatchback,24.07,5,160.0,Yes,Only Front Windows,No,No,67.048,5,Fabric,Manual,CD/MP3 Player,No,177.0,Yes,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,No,Yes,Yes,No,No,Manual Adjustment,750
31,Maruti Suzuki,Alto K10,Lx,360843,998.0,3,BS IV,Injection,35.0,Petrol,1475.0,3545.0,1490.0,Hatchback,24.07,5,160.0,No,No,No,No,67.048,5,Fabric,Manual,No,No,177.0,No,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,No,Yes,No,No,No,Manual Adjustment,740
32,Maruti Suzuki,Alto K10,Vxi (O),407238,998.0,3,BS IV,Injection,35.0,Petrol,1460.0,3620.0,1475.0,Hatchback,24.07,5,160.0,Yes,Only Front Windows,No,Remote,67.048,5,Fabric,Manual,No,No,177.0,Yes,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,No,No,No,Yes,No,No,Manual Adjustment,755
33,Maruti Suzuki,Alto K10,Lxi Cng (O),439777,998.0,3,BS IV,Injection,35.0,CNG,1475.0,3545.0,1490.0,Hatchback,19.90211704,5,160.0,Yes,No,No,No,58.174,5,Fabric,Manual,No,No,177.0,No,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,No,No,No,No,No,No,Manual Adjustment,740
34,Maruti Suzuki,Alto K10,Vxi Amt (O),438559,998.0,3,BS IV,Injection,35.0,Petrol,1475.0,3545.0,1490.0,Hatchback,24.07,5,160.0,Yes,Only Front Windows,No,No,67.048,5,Fabric,Automatic,CD Player with USB & Aux-in,No,177.0,Yes,Yes,No,Manual,Manual Air conditioning with cooling and heating,Yes,No,No,No,Yes,No,No,Manual Adjustment,755
35,Datsun,Go,D,374990,1198.0,3,BS IV,Injection,35.0,Petrol,1507.0,3788.0,1636.0,Hatchback,20.1,5,180.0,No,Only Front Windows,No,No,67.048,5,Fabric,Manual,No,No,265.0,Yes,Yes,Yes,Manual,Heater,Yes,Yes,No,Yes,Yes,Rear sensors,Yes,Manual Adjustment,864
36,Datsun,Go,T,468229,1198.0,3,BS IV,Injection,35.0,Petrol,1507.0,3788.0,1636.0,Hatchback,20.1,5,180.0,Electric Power,All Windows,No,No,67.048,5,Fabric,Manual,USB & Aux-in,No,265.0,Yes,Yes,Yes,Manual,"Heater, Manual Air conditioning with cooling and heating",Yes,Yes,No,Yes,Yes,Rear sensors,Yes,Manual Adjustment,864
37,Datsun,Go,T (O),502492,1198.0,3,BS IV,Injection,35.0,Petrol,1507.0,3788.0,1636.0,Hatchback,20.1,5,180.0,Electric Power,All Windows,No,No,67.048,5,Fabric,Manual,USB & Aux-in,No,265.0,Yes,Yes,Yes,Manual,"Heater, Manual Air conditioning with cooling and heating",Yes,Yes,No,Yes,Yes,Rear sensors,Yes,Manual Adjustment,864
38,Datsun,Go,A (O),499990,1198.0,3,BS IV,Injection,35.0,Petrol,1507.0,3788.0,1636.0,Hatchback,20.1,5,180.0,Electric Power,All Windows,No,No,67.048,5,Fabric,Manual,No,No,265.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,No,Yes,Yes,Rear sensors,Yes,Manual Adjustment,864
39,Datsun,Go,A,469990,1198.0,3,BS IV,Injection,35.0,Petrol,1507.0,3788.0,1636.0,Hatchback,20.1,5,180.0,Electric Power,Only Front Windows,No,No,67.048,5,Fabric,Manual,No,No,265.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,No,Yes,Yes,Rear sensors,Yes,Manual Adjustment,864
40,Datsun,Go,T Vdc,528464,1198.0,3,BS IV,Injection,35.0,Petrol,1507.0,3788.0,1636.0,Hatchback,20.1,5,180.0,Electric Power,All Windows,No,No,67.048,5,Fabric,Manual,USB & Aux-in,No,265.0,Yes,Yes,Yes,Manual,"Heater, Manual Air conditioning with cooling and heating",Yes,Yes,No,Yes,Yes,Rear sensors,Yes,Manual Adjustment,864
41,Datsun,Go,T (O) Vdc,553015,1198.0,3,BS IV,Injection,35.0,Petrol,1507.0,3788.0,1636.0,Hatchback,20.1,5,180.0,Electric Power,All Windows,No,No,67.048,5,Fabric,Manual,USB & Aux-in,No,265.0,Yes,Yes,Yes,Manual,"Heater, Manual Air conditioning with cooling and heating",Yes,Yes,No,Yes,Yes,Rear sensors,Yes,Manual Adjustment,864
42,Datsun,Go,T Cvt,594464,1198.0,3,BS IV,Injection,35.0,Petrol,1507.0,3788.0,1636.0,Hatchback,20.1,5,180.0,Electric Power,All Windows,No,No,76.908,5,Fabric,Manual,USB & Aux-in,No,265.0,Yes,Yes,Yes,Manual,"Heater, Manual Air conditioning with cooling and heating",Yes,Yes,No,Yes,Yes,Rear sensors,Yes,Manual Adjustment,864
43,Datsun,Go,T (O) Cvt,618015,1198.0,3,BS IV,Injection,35.0,Petrol,1507.0,3788.0,1636.0,Hatchback,20.1,5,180.0,Electric Power,All Windows,No,No,76.908,5,Fabric,Manual,USB & Aux-in,No,265.0,Yes,Yes,Yes,Manual,"Heater, Manual Air conditioning with cooling and heating",Yes,Yes,No,Yes,Yes,Rear sensors,Yes,Manual Adjustment,864
44,Maruti Suzuki,Celerio Tour,H2,422444,998.0,3,BS IV,Injection,35.0,Petrol,1560.0,3600.0,1600.0,Hatchback,23.1,5,165.0,Electric Power,No,No,No,67.048,5,Fabric,Manual,No,No,235.0,No,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,No,No,No,No,Manual Adjustment,830
45,Maruti Suzuki,Celerio Tour,H2 Cng,480670,998.0,3,BS IV,Injection,60.0,CNG,1560.0,3695.0,1600.0,Hatchback,19.90211704,5,165.0,Electric Power,All Windows,No,No,59.0,5,Fabric,Manual,No,No,235.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,No,No,No,Manual Adjustment,915
46,Hyundai,Santro,Era Mt,429990,1086.0,4,BS IV,Injection,35.0,Petrol,1560.0,3610.0,1645.0,Hatchback,20.3,5,165.0,Electric Power,Only Front Windows,No,No,68.034,5,Fabric,Manual,No,No,390.3198637,No,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,No,No,Manual Adjustment,990.467868338558
47,Hyundai,Santro,Magna Mt,503990,1086.0,4,BS IV,Injection,35.0,Petrol,1560.0,3610.0,1645.0,Hatchback,20.3,5,165.0,Electric Power,All Windows,No,Remote,68.034,5,Fabric,Manual,No,No,390.3198637,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,No,No,Manual Adjustment,990.467868338558
48,Hyundai,Santro,Magna Mt Cng,547990,1086.0,4,BS IV,Injection,35.0,CNG,1560.0,3610.0,1645.0,Hatchback,19.90211704,5,165.0,Electric Power,All Windows,No,No,58.174,5,Fabric,Manual,No,No,390.3198637,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,No,No,Manual Adjustment,990.467868338558
49,Hyundai,Santro,Magna Amt,530990,1086.0,4,BS IV,Injection,35.0,Petrol,1560.0,3610.0,1645.0,Hatchback,20.3,5,165.0,Electric Power,All Windows,No,No,68.034,5,Fabric,AMT,CD Player with USB & Aux-in,Yes,390.3198637,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,No,No,Manual Adjustment,990.467868338558
50,Hyundai,Santro,Sportz Mt,512990,1086.0,4,BS IV,Injection,35.0,Petrol,1560.0,3610.0,1645.0,Hatchback,20.3,5,165.0,Electric Power,All Windows,No,Remote,68.034,5,Fabric,Manual,CD/MP3/DVD Player with USB & Aux-in,Yes,390.3198637,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,No,No,Manual Adjustment,990.467868338558
51,Hyundai,Santro,Sportz Mt Cng,578990,1086.0,4,BS IV,Injection,60.0,CNG,1560.0,3610.0,1645.0,Hatchback,19.90211704,5,165.0,Electric Power,All Windows,No,No,58.174,5,Fabric,Manual,CD Player with USB & Aux-in,Yes,390.3198637,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,No,No,Manual Adjustment,990.467868338558
52,Hyundai,Santro,Sportz Amt,570990,1086.0,4,BS IV,Injection,35.0,Petrol,1560.0,3610.0,1645.0,Hatchback,20.3,5,165.0,Electric Power,All Windows,No,Yes,68.034,5,Fabric,AMT,CD Player with USB & Aux-in,Yes,390.3198637,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,No,No,Manual Adjustment,990.467868338558
53,Hyundai,Santro,Asta Mt,556490,1086.0,4,BS IV,Injection,35.0,Petrol,1560.0,3610.0,1645.0,Hatchback,20.3,5,165.0,Electric Power,All Windows,No,Remote,68.034,5,Fabric,Manual,CD/MP3/DVD Player with USB & Aux-in,Yes,390.3198637,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Rear sensors with camera,No,Manual Adjustment,990.467868338558
54,Tata,Tiago,Revotron Xe,460000,1199.0,3,BS VI,Injection,35.0,Petrol,1535.0,3765.0,1677.0,Hatchback,23.0,5,165.0,Electric Power,No,No,No,84.796,5,Fabric,Manual,No,No,390.3198637,No,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,No,Yes,No,Rear sensors,No,Manual Adjustment,935
55,Tata,Tiago,Revotron Xt,520000,1199.0,3,BS VI,Injection,35.0,Petrol,1535.0,3746.0,1647.0,Hatchback,23.0,5,170.0,Electric Power,All Windows,No,Remote,84.796,5,Fabric,Manual,CD Player with USB & Aux-in,Yes,242.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Front and rear sensors with camera,No,Manual Adjustment,930
56,Tata,Tiago,Revotron Xz,570000,1199.0,3,BS VI,Injection,35.0,Petrol,1535.0,3746.0,1647.0,Hatchback,23.0,5,170.0,Electric Power,All Windows,No,Remote,84.796,5,Fabric,Manual,CD Player with USB & Aux-in,Yes,242.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Front and rear sensors with camera,No,Manual Adjustment,930
57,Tata,Tiago,Revotron Xz Plus,599000,1199.0,3,BS VI,Injection,35.0,Petrol,1535.0,3746.0,1647.0,Hatchback,23.0,5,170.0,Electric Power,All Windows,No,Remote,84.796,5,Fabric,Manual,CD Player with USB & Aux-in,Yes,242.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Front and rear sensors with camera,No,Manual Adjustment,930
58,Tata,Tiago,Revotron Xz Plus Dual Tone,610000,1199.0,3,BS VI,Injection,35.0,Petrol,1535.0,3746.0,1647.0,Hatchback,23.0,5,170.0,Electric Power,All Windows,No,Remote,84.796,5,Fabric,Manual,CD Player with USB & Aux-in,Yes,242.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,Yes,Yes,Front and rear sensors with camera,No,Manual Adjustment,930
59,Tata,Tiago,Revotron Xza,620000,1199.0,3,BS VI,Injection,35.0,Petrol,1535.0,3746.0,1647.0,Hatchback,24.0,5,170.0,Electric Power,All Windows,No,Remote,84.796,5,Fabric,AMT,CD Player with USB & Aux-in,Yes,240.0,Yes,Yes,Yes,Manual,Fully automatic climate control,Yes,Yes,Yes,Yes,Yes,Rear sensors with camera,No,Manual Adjustment,930
60,Tata,Tiago,Revotron Xza Plus,649000,1199.0,3,BS VI,Injection,35.0,Petrol,1535.0,3746.0,1647.0,Hatchback,24.0,5,170.0,Electric Power,All Windows,No,Remote,84.796,5,Fabric,AMT,CD Player with USB & Aux-in,Yes,240.0,Yes,Yes,Yes,Manual,Fully automatic climate control,Yes,Yes,Yes,Yes,Yes,Rear sensors with camera,No,Manual Adjustment,930
61,Tata,Tiago,Revotron Xza Plus Dual Tone,660000,1199.0,3,BS VI,Injection,35.0,Petrol,1535.0,3746.0,1647.0,Hatchback,24.0,5,170.0,Electric Power,All Windows,No,Remote,84.796,5,Fabric,AMT,CD Player with USB & Aux-in,Yes,240.0,Yes,Yes,Yes,Manual,Fully automatic climate control,Yes,Yes,Yes,Yes,Yes,Rear sensors with camera,No,Manual Adjustment,930
62,Maruti Suzuki,Celerio X,Vxi (O),481074,998.0,3,BS IV,Injection,35.0,Petrol,1560.0,3600.0,1600.0,Hatchback,23.1,5,165.0,Electric Power,All Windows,No,No,67.048,5,Fabric,Manual,No,No,235.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,No,Yes,No,No,Manual Adjustment,810
63,Maruti Suzuki,Celerio X,Vxi,475198,998.0,3,BS IV,Injection,35.0,Petrol,1560.0,3600.0,1600.0,Hatchback,23.1,5,165.0,Electric Power,All Windows,No,No,67.048,5,Fabric,Manual,No,No,235.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,Yes,No,No,Manual Adjustment,810
64,Maruti Suzuki,Celerio X,Vxi Amt,518198,998.0,3,BS IV,Injection,35.0,Petrol,1560.0,3600.0,1600.0,Hatchback,23.1,5,165.0,Electric Power,All Windows,No,No,67.048,5,Fabric,Automatic,No,No,235.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,Yes,No,No,Manual Adjustment,810
65,Maruti Suzuki,Celerio X,Vxi Amt (O),524074,998.0,3,BS IV,Injection,35.0,Petrol,1560.0,3600.0,1600.0,Hatchback,23.1,5,165.0,Electric Power,All Windows,No,No,67.048,5,Fabric,Automatic,No,No,235.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,No,Yes,No,No,Manual Adjustment,810
66,Maruti Suzuki,Celerio X,Zxi,499734,998.0,3,BS IV,Injection,35.0,Petrol,1560.0,3600.0,1600.0,Hatchback,23.1,5,165.0,Electric Power,All Windows,No,Remote,67.048,5,Fabric,Manual,CD Player with USB & Aux-in,Yes,235.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,Yes,No,No,Manual Adjustment,810
67,Maruti Suzuki,Celerio X,Zxi (O),540350,998.0,3,BS IV,Injection,35.0,Petrol,1560.0,3600.0,1600.0,Hatchback,23.1,5,165.0,Electric Power,All Windows,No,Remote,67.048,5,Fabric,Manual,CD Player with USB & Aux-in,Yes,235.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,No,Yes,No,No,Manual Adjustment,810
68,Maruti Suzuki,Celerio X,Zxi Amt,542735,998.0,3,BS IV,Injection,35.0,Petrol,1560.0,3600.0,1600.0,Hatchback,23.1,5,165.0,Electric Power,All Windows,No,Remote,67.048,5,Fabric,Automatic,CD Player with USB & Aux-in,Yes,235.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,Yes,No,No,Manual Adjustment,810
69,Maruti Suzuki,Celerio X,Zxi Amt (O),552350,998.0,3,BS IV,Injection,35.0,Petrol,1560.0,3600.0,1600.0,Hatchback,23.1,5,165.0,Electric Power,All Windows,No,Remote,67.048,5,Fabric,Automatic,CD Player with USB & Aux-in,Yes,235.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,No,Yes,No,No,Manual Adjustment,810
